ip,logLevel,returnCode
10.10.10.9,critical,301
10.10.10.46,info,203
10.10.10.24,info,202
10.10.10.29,info,206
10.10.10.31,debug,303
10.10.10.20,info,226
10.10.10.21,warn,200
10.10.10.20,info,206
10.10.10.40,info,202
10.10.10.11,info,208
10.10.10.32,info,206
10.10.10.25,info,407
10.10.10.28,debug,208
10.10.10.10,critical,203
10.10.10.34,trace,226
10.10.10.38,info,401
10.10.10.3,info,204
10.10.10.2,info,508
10.10.10.45,critical,414
10.10.10.44,critical,418
10.10.10.39,info,207
10.10.10.25,info,308
10.10.10.26,info,305
10.10.10.14,error,201
10.10.10.29,info,205
10.10.10.8,info,207
10.10.10.30,info,203
10.10.10.3,info,204
10.10.10.49,info,208
10.10.10.5,info,300
10.10.10.7,info,201
10.10.10.19,debug,203
10.10.10.36,info,204
10.10.10.30,info,302
10.10.10.17,warn,203
10.10.10.33,info,421
10.10.10.19,info,206
10.10.10.15,info,201
10.10.10.13,debug,207
10.10.10.50,error,307
10.10.10.0,info,202
10.10.10.32,info,202
10.10.10.18,info,201
10.10.10.31,info,203
10.10.10.31,debug,201
10.10.10.28,info,226
10.10.10.4,info,204
10.10.10.14,warn,202
10.10.10.19,info,307
10.10.10.35,warn,226
10.10.10.24,info,208
10.10.10.28,info,226
10.10.10.4,info,200
10.10.10.35,critical,200
10.10.10.3,info,200
10.10.10.3,info,206
10.10.10.38,info,208
10.10.10.36,trace,202
10.10.10.39,trace,204
10.10.10.29,info,208
10.10.10.26,info,201
10.10.10.50,info,206
10.10.10.33,info,201
10.10.10.14,trace,208
10.10.10.37,critical,300
10.10.10.10,info,303
10.10.10.22,info,203
10.10.10.25,critical,307
10.10.10.17,error,302
10.10.10.18,critical,208
10.10.10.2,debug,307
10.10.10.38,info,307
10.10.10.15,critical,404
10.10.10.37,critical,303
10.10.10.27,info,303
10.10.10.21,info,205
10.10.10.25,info,201
10.10.10.36,info,304
10.10.10.8,info,203
10.10.10.31,info,304
10.10.10.10,info,203
10.10.10.26,info,208
10.10.10.6,critical,407
10.10.10.14,info,204
10.10.10.8,debug,200
10.10.10.9,info,202
10.10.10.47,info,202
10.10.10.50,debug,206
10.10.10.32,debug,204
10.10.10.38,info,208
10.10.10.12,critical,208
10.10.10.24,info,304
10.10.10.39,critical,201
10.10.10.45,info,226
10.10.10.28,info,205
10.10.10.20,critical,204
10.10.10.6,info,202
10.10.10.45,info,226
10.10.10.33,info,203
10.10.10.26,trace,208
10.10.10.18,critical,303
10.10.10.47,trace,206
10.10.10.33,info,204
10.10.10.50,info,203
10.10.10.43,info,204
10.10.10.46,info,207
10.10.10.5,info,301
10.10.10.49,info,203
10.10.10.8,info,226
10.10.10.49,critical,308
10.10.10.27,error,203
10.10.10.24,info,201
10.10.10.9,critical,207
10.10.10.50,info,415
10.10.10.26,info,201
10.10.10.49,warn,201
10.10.10.48,info,308
10.10.10.0,info,205
10.10.10.2,info,305
10.10.10.17,error,201
10.10.10.38,info,302
10.10.10.3,info,201
10.10.10.18,info,203
10.10.10.20,info,208
10.10.10.27,info,202
10.10.10.37,info,307
10.10.10.30,info,204
10.10.10.25,critical,208
10.10.10.5,critical,201
10.10.10.7,info,207
10.10.10.39,debug,205
10.10.10.8,info,205
10.10.10.18,trace,200
10.10.10.17,critical,407
10.10.10.47,info,303
10.10.10.48,info,303
10.10.10.35,info,301
10.10.10.3,info,205
10.10.10.8,info,206
10.10.10.15,info,201
10.10.10.49,info,203
10.10.10.26,info,303
10.10.10.36,info,207
10.10.10.50,info,308
10.10.10.23,info,404
10.10.10.4,critical,501
10.10.10.30,info,208
10.10.10.47,info,308
10.10.10.27,info,200
10.10.10.42,debug,428
10.10.10.47,warn,201
10.10.10.37,debug,208
10.10.10.0,info,206
10.10.10.42,info,206
10.10.10.12,info,206
10.10.10.4,info,201
10.10.10.7,info,205
10.10.10.45,critical,305
10.10.10.2,critical,205
10.10.10.2,info,308
10.10.10.2,info,205
10.10.10.45,warn,208
10.10.10.47,info,308
10.10.10.42,info,226
10.10.10.47,trace,203
10.10.10.10,info,510
10.10.10.11,info,406
10.10.10.11,debug,201
10.10.10.31,debug,301
10.10.10.21,info,200
10.10.10.6,info,201
10.10.10.22,info,208
10.10.10.26,info,226
10.10.10.15,info,302
10.10.10.16,info,301
10.10.10.12,error,226
10.10.10.22,info,201
10.10.10.49,debug,207
10.10.10.47,info,302
10.10.10.38,warn,206
10.10.10.21,info,206
10.10.10.25,info,300
